Timestep,Second Derivative at First Point,Second Derivative at Last Point
0.330000,0.000000,0.000000 

X-value, Velocity, Acceleration
0.000000,0.000000,0.000000
0.330000,0.398739,1.208299
0.660000,0.989048,1.997114
0.990000,1.962497,3.946959
1.000000,2.000000,3.060606
1.330000,3.484806,7.529715
1.660000,5.239143,11.845889
1.990000,6.952027,16.036446
2.000000,7.000000,15.181818
2.330000,8.464326,19.588866
2.660000,9.972291,23.158459
2.990000,11.929398,28.089086
3.000000,12.000000,27.303030
3.330000,14.737576,35.568411
3.660000,18.109171,44.785366
3.990000,21.881875,55.217802
4.000000,22.000000,54.575758
4.330000,25.996997,66.657568
4.660000,30.250033,78.545554
4.990000,34.854005,91.496984
5.000000,35.000000,90.939394
5.330000,39.916724,105.808254
5.660000,44.488610,118.662454
5.990000,47.922109,128.066998
6.000000,48.000000,127.303030
6.330000,49.788611,132.692761
6.660000,50.975560,135.289576
6.990000,52.915166,140.167171
7.000000,53.000000,139.424242
7.330000,56.746160,150.745941
7.660000,61.682182,164.703581
7.990000,66.849908,179.363357
8.000000,67.000000,178.818182
8.330000,71.977047,193.869839
8.660000,78.676913,213.172462
8.990000,89.577902,245.205763
9.000000,90.000000,245.484848
9.330000,106.131574,294.338102
9.660000,121.356344,339.473770
9.990000,128.012978,358.645389
10.000000,128.000000,357.606061
10.330000,120.409080,334.572970
10.660000,104.255087,284.621477
10.990000,87.436579,232.656299
11.000000,87.000000,230.333333
11.330000,75.866821,196.566124
11.660000,68.758227,174.024930
11.990000,62.225412,153.228520
12.000000,62.000000,151.545455
12.330000,53.363971,125.345366
12.660000,43.765877,95.260234
12.990000,35.221192,68.367250
13.000000,35.000000,66.696970
13.330000,29.154826,48.954017
13.660000,25.492096,36.854838
13.990000,23.064302,28.497884
14.000000,23.000000,27.303030
14.330000,21.019731,21.271913
14.660000,19.347769,15.205360
14.990000,18.033709,10.223360
15.000000,18.000000,9.121212
15.330000,17.043465,6.192317
15.660000,16.166948,2.536206
15.990000,15.041468,-1.874341
16.000000,15.000000,-3.000000
16.330000,13.360126,-7.999619
16.660000,11.320560,-15.180122
16.990000,9.069526,-23.001437
17.000000,9.000000,-24.212121
17.330000,6.733744,-31.109866
17.660000,4.672902,-38.354844
17.990000,3.040426,-44.301738
18.000000,3.000000,-45.424242
18.330000,1.968646,-48.579861
18.660000,1.377818,-51.370248
18.990000,1.009965,-53.484956
19.000000,1.000000,-54.515152
19.330000,0.670661,-55.543452
19.660000,0.340538,-57.543824
19.990000,0.010018,-59.545400
